d,t,ln(t),asin(ln(t)),p,ln(p),ln(ln(p)),asin(ln(ln(p))),ln(ln(p_s)),asin(ln(ln(p_s))),ln(p_s),p_s,asin(ln(ln(p_r))),ln(ln(p_r)),ln(p_r),p_r,dp,ln(dp),ln(ln(dp)),p_m,ln(p_m),ln(ln(p_m)),asin(ln(ln(p_m))),dp_m,ln(dp_m),ln(ln(dp_m)),ln(ln(dp))%,ln(ln(dp_m))%,ixic_p,ln(ixic_p),ixic_p_s,ln(ixic_p_s),ixic_p_r,ln(ixic_p_r),ixic_dp,ixic_dp%,ixic_diff_dp%
2010-10-07,0.0027,0.1001,0.0076,0.0600,0.1866,1.3212,0.1503,1.1158,0.1266,0.1519,0.0580,0.2408,2.0857,0.4008,0.0743,0.0237,0.9102,2.9059,0.0580,0.1531,1.1235,0.1275,0.0009,0.7063,2.6522,0.3607,0.0171,2391.6300,7.7797,2000.7690,7.6013,3411.8377,8.1350,0.1784,0.3343,0.0263
2010-10-08,0.0055,0.7932,0.0602,0.0800,0.4743,2.2540,0.2613,1.4864,0.1695,0.2201,0.0620,0.2837,2.4347,0.5682,0.0879,0.0918,1.3487,3.2992,0.0732,0.3853,2.0463,0.2360,0.0665,1.2072,3.1883,0.8934,0.7432,2384.7600,7.7769,2001.5384,7.6017,3413.1496,8.1354,0.1752,0.3282,0.5652
2010-10-09,0.0082,1.1987,0.0911,0.0900,0.5921,2.4758,0.2889,1.7032,0.1950,0.2734,0.0654,0.3092,2.6366,0.6953,0.0998,0.0939,1.3594,3.3070,0.0998,0.6953,2.6366,0.3092,0.1142,1.4591,3.3778,0.9041,1.0000,2384.7600,7.7769,2002.3080,7.6021,3414.4620,8.1358,0.1748,0.3275,0.5766
2010-10-10,0.0110,1.4864,0.1131,0.1000,0.6974,2.6396,0.3096,1.8570,0.2133,0.3189,0.0685,0.3275,2.7788,0.8016,0.1110,0.0963,1.3719,3.3162,0.0945,0.6405,2.5545,0.2988,0.0855,1.3153,3.2741,0.9165,0.8595,2384.7600,7.7769,2003.0779,7.6024,3415.7750,8.1362,0.1744,0.3268,0.5897
2010-10-11,0.0137,1.7095,0.1304,0.1000,0.6974,2.6396,0.3096,1.9763,0.2276,0.3593,0.0713,0.3418,2.8886,0.8945,0.1218,0.0820,1.2963,3.2595,0.0847,0.5316,2.3681,0.2754,0.0479,1.0885,3.0848,0.8397,0.6030,2403.4600,7.7847,2003.8481,7.6028,3417.0884,8.1365,0.1818,0.3407,0.4990
2010-10-12,0.0164,1.8919,0.1445,0.0900,0.5921,2.4758,0.2889,2.0738,0.2393,0.3961,0.0740,0.3535,2.9778,0.9780,0.1324,0.0495,1.0997,3.0951,0.0806,0.4812,2.2684,0.2631,0.0238,0.9106,2.9064,0.6170,0.3614,2397.7000,7.7823,2004.6186,7.6032,3418.4023,8.1369,0.1791,0.3355,0.2815
2010-10-13,0.0192,2.0460,0.1565,0.1000,0.6974,2.6396,0.3096,2.1562,0.2494,0.4301,0.0765,0.3636,3.0530,1.0544,0.1429,0.0602,1.1688,3.1559,0.0795,0.4682,2.2411,0.2597,0.0104,0.7962,2.7721,0.6994,0.1795,2432.5500,7.7967,2005.3894,7.6036,3419.7167,8.1373,0.1931,0.3618,0.3376
2010-10-14,0.0219,2.1795,0.1669,0.1000,0.6974,2.6396,0.3096,2.2276,0.2581,0.4619,0.0790,0.3723,3.1178,1.1251,0.1534,0.0515,1.1127,3.1068,0.0801,0.4751,2.2558,0.2616,0.0035,0.7315,2.6873,0.6329,0.0646,2441.2100,7.8002,2006.1605,7.6040,3421.0317,8.1377,0.1963,0.3677,0.2651
2010-10-15,0.0247,2.2973,0.1762,0.1000,0.6974,2.6396,0.3096,2.2906,0.2658,0.4919,0.0814,0.3800,3.1749,1.1911,0.1638,0.0437,1.0602,3.0585,0.0816,0.4939,2.2945,0.2663,0.0005,0.7023,2.6466,0.5674,0.0094,2461.7000,7.8086,2006.9319,7.6044,3422.3471,8.1381,0.2042,0.3827,0.1848
2010-10-16,0.0274,2.4027,0.1845,0.1000,0.6974,2.6396,0.3096,2.3469,0.2728,0.5204,0.0838,0.3870,3.2258,1.2533,0.1744,0.0368,1.0106,3.0105,0.0838,0.5209,2.3478,0.2729,0.0001,0.6985,2.6412,0.5025,0.0022,2461.7000,7.8086,2007.7036,7.6047,3423.6631,8.1385,0.2039,0.3820,0.1205
2010-10-17,0.0301,2.4980,0.1921,0.1000,0.6974,2.6396,0.3096,2.3979,0.2791,0.5477,0.0861,0.3933,3.2717,1.3123,0.1849,0.0304,0.9632,2.9625,0.0867,0.5548,2.4109,0.2808,0.0016,0.7135,2.6625,0.4374,0.0310,2461.7000,7.8086,2008.4756,7.6051,3424.9795,8.1389,0.2035,0.3812,0.0562
2010-10-18,0.0329,2.5850,0.1990,0.1000,0.6974,2.6396,0.3096,2.4444,0.2849,0.5737,0.0884,0.3991,3.3136,1.3683,0.1956,0.0246,0.9177,2.9141,0.0903,0.5954,2.4814,0.2896,0.0046,0.7427,2.7026,0.3718,0.0852,2470.1200,7.8120,2009.2479,7.6055,3426.2965,8.1392,0.2065,0.3869,-0.0151
2010-10-19,0.0356,2.6651,0.2053,0.1000,0.6974,2.6396,0.3096,2.4872,0.2903,0.5988,0.0906,0.4045,3.3520,1.4219,0.2064,0.0193,0.8737,2.8650,0.0947,0.6427,2.5579,0.2992,0.0089,0.7827,2.7550,0.3053,0.1564,2442.2100,7.8007,2010.0205,7.6059,3427.6139,8.1396,0.1948,0.3649,-0.0596
2010-10-20,0.0384,2.7392,0.2113,0.1000,0.6974,2.6396,0.3096,2.5268,0.2953,0.6230,0.0928,0.4095,3.3875,1.4733,0.2172,0.0143,0.8310,2.8149,0.1000,0.6974,2.6396,0.3096,0.0143,0.8310,2.8149,0.2375,0.2374,2443.2000,7.8011,2010.7934,7.6063,3428.9319,8.1400,0.1948,0.3649,-0.1275
2010-10-21,0.0411,2.8082,0.2168,0.1000,0.6974,2.6396,0.3096,2.5637,0.2999,0.6464,0.0950,0.4141,3.4205,1.5227,0.2282,0.0096,0.7894,2.7636,0.1065,0.7601,2.7257,0.3206,0.0207,0.8852,2.8781,0.1679,0.3231,2470.7200,7.8123,2011.5666,7.6067,3430.2504,8.1404,0.2056,0.3852,-0.2173
2010-10-22,0.0438,2.8727,0.2220,0.1100,0.7927,2.7677,0.3260,2.5982,0.3043,0.6691,0.0972,0.4185,3.4512,1.5703,0.2394,0.0217,0.8939,2.8878,0.1143,0.8315,2.8154,0.3322,0.0279,0.9435,2.9418,0.3362,0.4094,2461.6000,7.8086,2012.3401,7.6071,3431.5694,8.1408,0.2015,0.3776,-0.0413
2010-10-23,0.0466,2.9333,0.2269,0.1100,0.7927,2.7677,0.3260,2.6307,0.3084,0.6912,0.0994,0.4226,3.4801,1.6163,0.2506,0.0176,0.8594,2.8485,0.1239,0.9120,2.9078,0.3443,0.0359,1.0038,3.0038,0.2830,0.4934,2461.6000,7.8086,2013.1138,7.6074,3432.8889,8.1412,0.2011,0.3768,-0.0939
2010-10-24,0.0493,2.9905,0.2315,0.1100,0.7927,2.7677,0.3260,2.6612,0.3123,0.7126,0.1015,0.4265,3.5073,1.6608,0.2621,0.0137,0.8257,2.8085,0.1356,1.0017,3.0017,0.3567,0.0444,1.0646,3.0626,0.2288,0.5730,2461.6000,7.8086,2013.8879,7.6078,3434.2089,8.1415,0.2007,0.3761,-0.1474
2010-10-25,0.0521,3.0445,0.2359,0.1500,1.1029,3.0979,0.3696,2.6901,0.3160,0.7335,0.1037,0.4302,3.5330,1.7040,0.2736,0.0536,1.1263,3.1190,0.1496,1.1003,3.0956,0.3693,0.0532,1.1243,3.1171,0.6493,0.6469,2491.6200,7.8207,2014.6623,7.6082,3435.5294,8.1419,0.2125,0.3981,0.2512
2010-10-26,0.0548,3.0958,0.2401,0.1600,1.1674,3.1548,0.3773,2.7175,0.3196,0.7539,0.1058,0.4337,3.5573,1.7459,0.2853,0.0577,1.1532,3.1425,0.1664,1.2068,3.1880,0.3818,0.0623,1.1814,3.1667,0.6812,0.7140,2476.5100,7.8146,2015.4370,7.6086,3436.8504,8.1423,0.2060,0.3860,0.2952
2010-10-27,0.0575,3.1446,0.2441,0.1800,1.2852,3.2509,0.3904,2.7436,0.3229,0.7739,0.1079,0.4371,3.5804,1.7867,0.2972,0.0675,1.2134,3.1934,0.1863,1.3194,3.2772,0.3941,0.0712,1.2348,3.2109,0.7502,0.7739,2484.0900,7.8177,2016.2119,7.6090,3438.1719,8.1427,0.2087,0.3910,0.3592
2010-10-28,0.0603,3.1911,0.2479,0.1900,1.3393,3.2921,0.3961,2.7685,0.3261,0.7934,0.1101,0.4403,3.6024,1.8265,0.3093,0.0700,1.2281,3.2055,0.2092,1.4357,3.3616,0.4058,0.0797,1.2836,3.2497,0.7666,0.8264,2516.1600,7.8305,2016.9872,7.6094,3439.4940,8.1431,0.2211,0.4143,0.3522
2010-10-29,0.0630,3.2356,0.2515,0.1900,1.3393,3.2921,0.3961,2.7923,0.3292,0.8124,0.1122,0.4434,3.6234,1.8652,0.3215,0.0669,1.2099,3.1905,0.2351,1.5524,3.4398,0.4169,0.0877,1.3269,3.2829,0.7463,0.8714,2505.9900,7.8264,2017.7628,7.6097,3440.8165,8.1435,0.2167,0.4060,0.3403
2010-10-30,0.0658,3.2782,0.2550,0.1900,1.3393,3.2921,0.3961,2.8150,0.3322,0.8311,0.1143,0.4463,3.6434,1.9030,0.3339,0.0640,1.1920,3.1756,0.2634,1.6660,3.5105,0.4270,0.0948,1.3643,3.3106,0.7261,0.9090,2505.9900,7.8264,2018.5386,7.6101,3442.1395,8.1438,0.2163,0.4053,0.3208
2010-10-31,0.0685,3.3190,0.2584,0.1900,1.3393,3.2921,0.3961,2.8369,0.3350,0.8495,0.1164,0.4492,3.6627,1.9400,0.3464,0.0611,1.1745,3.1609,0.2932,1.7730,3.5727,0.4360,0.1010,1.3954,3.3332,0.7061,0.9396,2505.9900,7.8264,2019.3148,7.6105,3443.4631,8.1442,0.2159,0.4046,0.3015
2010-11-01,0.0712,3.3582,0.2616,0.1900,1.3393,3.2921,0.3961,2.8578,0.3377,0.8675,0.1185,0.4519,3.6811,1.9761,0.3592,0.0584,1.1574,3.1462,0.3230,1.8699,3.6259,0.4438,0.1060,1.4202,3.3508,0.6862,0.9634,2520.4500,7.8322,2020.0912,7.6109,3444.7872,8.1446,0.2213,0.4146,0.2716
2010-11-02,0.0740,3.3959,0.2647,0.1900,1.3393,3.2921,0.3961,2.8780,0.3404,0.8852,0.1207,0.4546,3.6988,2.0114,0.3721,0.0558,1.1406,3.1315,0.3513,1.9538,3.6698,0.4502,0.1099,1.4387,3.3637,0.6664,0.9809,2525.9400,7.8344,2020.8680,7.6113,3446.1117,8.1450,0.2231,0.4180,0.2484
2010-11-03,0.0767,3.4323,0.2677,0.1900,1.3393,3.2921,0.3961,2.8975,0.3429,0.9025,0.1228,0.4571,3.7159,2.0461,0.3852,0.0532,1.1241,3.1170,0.3764,2.0228,3.7045,0.4554,0.1125,1.4511,3.3723,0.6466,0.9925,2532.8300,7.8371,2021.6451,7.6117,3447.4368,8.1454,0.2254,0.4224,0.2243
2010-11-04,0.0795,3.4674,0.2706,0.2100,1.4394,3.3642,0.4062,2.9162,0.3454,0.9196,0.1249,0.4596,3.7324,2.0800,0.3985,0.0608,1.1724,3.1591,0.3969,2.0758,3.7304,0.4593,0.1139,1.4577,3.3768,0.7037,0.9987,2569.2700,7.8514,2022.4224,7.6121,3448.7624,8.1458,0.2393,0.4484,0.2553
2010-11-05,0.0822,3.5013,0.2735,0.2400,1.5729,3.4529,0.4187,2.9343,0.3478,0.9365,0.1270,0.4620,3.7482,2.1133,0.4120,0.0710,1.2336,3.2100,0.4118,2.1128,3.7480,0.4619,0.1141,1.4589,3.3777,0.7726,0.9998,2577.6300,7.8546,2023.2001,7.6124,3450.0885,8.1462,0.2422,0.4538,0.3189
2010-11-06,0.0849,3.5341,0.2762,0.2900,1.7621,3.5665,0.4351,2.9519,0.3501,0.9530,0.1291,0.4643,3.7636,2.1460,0.4257,0.0850,1.3125,3.2719,0.4208,2.1343,3.7581,0.4635,0.1134,1.4552,3.3752,0.8566,0.9964,2577.6300,7.8546,2023.9780,7.6128,3451.4151,8.1465,0.2418,0.4531,0.4035
2010-11-07,0.0877,3.5658,0.2788,0.3600,1.9783,3.6823,0.4521,2.9689,0.3523,0.9693,0.1312,0.4665,3.7784,2.1780,0.4396,0.0997,1.3893,3.3288,0.4239,2.1418,3.7616,0.4640,0.1116,1.4472,3.3696,0.9336,0.9889,2577.6300,7.8546,2024.7563,7.6132,3452.7423,8.1469,0.2414,0.4523,0.4813
2010-11-08,0.0904,3.5966,0.2814,0.3200,1.8606,3.6209,0.4430,2.9853,0.3545,0.9854,0.1334,0.4687,3.7928,2.2096,0.4536,0.0885,1.3313,3.2862,0.4219,2.1370,3.7594,0.4637,0.1091,1.4352,3.3613,0.8759,0.9776,2570.8600,7.8520,2025.5348,7.6136,3454.0699,8.1473,0.2384,0.4467,0.4292
2010-11-09,0.0932,3.6265,0.2839,0.2700,1.6907,3.5251,0.4291,3.0013,0.3566,1.0013,0.1355,0.4708,3.8067,2.2406,0.4679,0.0724,1.2423,3.2170,0.4156,2.1220,3.7524,0.4626,0.1059,1.4198,3.3505,0.7821,0.9630,2587.0800,7.8583,2026.3137,7.6140,3455.3981,8.1477,0.2443,0.4578,0.3243
2010-11-10,0.0959,3.6555,0.2864,0.2000,1.3906,3.3297,0.4014,3.0168,0.3587,1.0169,0.1376,0.4729,3.8202,2.2710,0.4824,0.0427,1.0527,3.0514,0.4061,2.0988,3.7414,0.4609,0.1022,1.4016,3.3376,0.5578,0.9456,2564.3100,7.8494,2027.0928,7.6144,3456.7267,8.1481,0.2351,0.4405,0.1173
2010-11-11,0.0986,3.6836,0.2887,0.2200,1.4859,3.3960,0.4107,3.0318,0.3607,1.0323,0.1398,0.4749,3.8333,2.3010,0.4971,0.0499,1.1025,3.0976,0.3944,2.0695,3.7273,0.4588,0.0981,1.3810,3.3228,0.6204,0.9255,2534.2400,7.8376,2027.8723,7.6147,3458.0559,8.1485,0.2229,0.4176,0.2028
2010-11-12,0.1014,3.7110,0.2910,0.2600,1.6529,3.5025,0.4258,3.0465,0.3627,1.0476,0.1419,0.4769,3.8461,2.3305,0.5120,0.0632,1.1869,3.1714,0.3813,2.0358,3.7109,0.4564,0.0937,1.3585,3.3063,0.7204,0.9032,2540.4700,7.8401,2028.6520,7.6151,3459.3856,8.1488,0.2250,0.4215,0.2988
2010-11-13,0.1041,3.7377,0.2933,0.2900,1.7621,3.5665,0.4351,3.0607,0.3646,1.0626,0.1441,0.4788,3.8585,2.3596,0.5271,0.0705,1.2309,3.2078,0.3677,1.9994,3.6928,0.4537,0.0891,1.3344,3.2885,0.7696,0.8790,2540.4700,7.8401,2029.4321,7.6155,3460.7157,8.1492,0.2246,0.4208,0.3488
2010-11-14,0.1068,3.7637,0.2955,0.2800,1.7270,3.5464,0.4322,3.0746,0.3665,1.0775,0.1462,0.4806,3.8706,2.3882,0.5424,0.0657,1.2025,3.1844,0.3540,1.9615,3.6737,0.4508,0.0844,1.3092,3.2694,0.7380,0.8531,2540.4700,7.8401,2030.2124,7.6159,3462.0464,8.1496,0.2242,0.4201,0.3179
2010-11-15,0.1096,3.7890,0.2976,0.2700,1.6907,3.5251,0.4291,3.0882,0.3683,1.0922,0.1484,0.4825,3.8823,2.4165,0.5579,0.0608,1.1725,3.1591,0.3407,1.9233,3.6540,0.4479,0.0796,1.2832,3.2493,0.7037,0.8259,2529.0200,7.8356,2030.9931,7.6163,3463.3777,8.1500,0.2193,0.4109,0.2928
2010-11-16,0.1123,3.8137,0.2997,0.2500,1.6137,3.4785,0.4224,3.1014,0.3701,1.1067,0.1506,0.4842,3.8937,2.4443,0.5737,0.0523,1.1183,3.1119,0.3281,1.8855,3.6342,0.4450,0.0749,1.2566,3.2284,0.6397,0.7976,2494.2100,7.8217,2031.7740,7.6167,3464.7094,8.1504,0.2051,0.3842,0.2555
2010-11-17,0.1151,3.8378,0.3018,0.2600,1.6529,3.5025,0.4258,3.1142,0.3718,1.1210,0.1527,0.4860,3.9049,2.4717,0.5896,0.0540,1.1295,3.1217,0.3163,1.8489,3.6146,0.4421,0.0703,1.2299,3.2069,0.6531,0.7685,2471.2700,7.8125,2032.5553,7.6170,3466.0416,8.1508,0.1954,0.3662,0.2869
2010-11-18,0.1178,3.8613,0.3038,0.2700,1.6907,3.5251,0.4291,3.1268,0.3735,1.1352,0.1549,0.4877,3.9158,2.4988,0.6058,0.0556,1.1395,3.1306,0.3054,1.8139,3.5955,0.4393,0.0658,1.2031,3.1849,0.6651,0.7386,2504.4100,7.8258,2033.3368,7.6174,3467.3744,8.1512,0.2084,0.3904,0.2746
2010-11-19,0.1205,3.8843,0.3057,0.2700,1.6907,3.5251,0.4291,3.1391,0.3752,1.1493,0.1571,0.4893,3.9264,2.5255,0.6222,0.0539,1.1287,3.1211,0.2955,1.7808,3.5770,0.4366,0.0615,1.1765,3.1625,0.6522,0.7083,2510.7900,7.8284,2034.1187,7.6178,3468.7076,8.1515,0.2105,0.3945,0.2577
2010-11-20,0.1233,3.9068,0.3077,0.2800,1.7270,3.5464,0.4322,3.1511,0.3768,1.1632,0.1593,0.4910,3.9368,2.5519,0.6388,0.0554,1.1381,3.1293,0.2864,1.7497,3.5595,0.4341,0.0573,1.1502,3.1399,0.6634,0.6777,2510.7900,7.8284,2034.9008,7.6182,3470.0414,8.1519,0.2102,0.3937,0.2696
2010-11-21,0.1260,3.9287,0.3095,0.2800,1.7270,3.5464,0.4322,3.1629,0.3784,1.1769,0.1615,0.4926,3.9470,2.5779,0.6557,0.0538,1.1277,3.1202,0.2783,1.7209,3.5429,0.4317,0.0533,1.1244,3.1172,0.6510,0.6470,2510.7900,7.8284,2035.6833,7.6186,3471.3757,8.1523,0.2098,0.3930,0.2580
2010-11-22,0.1288,3.9503,0.3114,0.2800,1.7270,3.5464,0.4322,3.1744,0.3800,1.1905,0.1637,0.4941,3.9569,2.6036,0.6727,0.0522,1.1175,3.1111,0.2710,1.6943,3.5273,0.4294,0.0494,1.0992,3.0946,0.6387,0.6163,2509.3900,7.8278,2036.4660,7.6190,3472.7105,8.1527,0.2088,0.3913,0.2474
2010-11-23,0.1315,3.9713,0.3132,0.2800,1.7270,3.5464,0.4322,3.1856,0.3815,1.2040,0.1660,0.4957,3.9666,2.6290,0.6900,0.0507,1.1074,3.1020,0.2645,1.6700,3.5128,0.4273,0.0458,1.0746,3.0720,0.6263,0.5857,2504.2100,7.8257,2037.2491,7.6194,3474.0458,8.1531,0.2064,0.3867,0.2397
2010-11-24,0.1342,3.9919,0.3150,0.2800,1.7270,3.5464,0.4322,3.1967,0.3830,1.2173,0.1682,0.4972,3.9761,2.6541,0.7076,0.0492,1.0973,3.0929,0.2587,1.6478,3.4994,0.4254,0.0424,1.0508,3.0496,0.6140,0.5554,2519.8900,7.8320,2038.0324,7.6197,3475.3816,8.1535,0.2122,0.3976,0.2163
2010-11-25,0.1370,4.0121,0.3167,0.2800,1.7270,3.5464,0.4322,3.2075,0.3845,1.2306,0.1704,0.4987,3.9854,2.6789,0.7254,0.0477,1.0874,3.0837,0.2535,1.6277,3.4872,0.4236,0.0392,1.0279,3.0275,0.6016,0.5254,2519.8900,7.8320,2038.8161,7.6201,3476.7180,8.1538,0.2118,0.3969,0.2047
2010-11-26,0.1397,4.0319,0.3184,0.2800,1.7270,3.5464,0.4322,3.2181,0.3859,1.2437,0.1727,0.5001,3.9945,2.7034,0.7434,0.0462,1.0775,3.0746,0.2490,1.6097,3.4760,0.4220,0.0361,1.0057,3.0057,0.5893,0.4959,2525.9100,7.8344,2039.6001,7.6205,3478.0548,8.1542,0.2138,0.4007,0.1886
2010-11-27,0.1425,4.0513,0.3201,0.2800,1.7270,3.5464,0.4322,3.2284,0.3874,1.2566,0.1749,0.5015,4.0034,2.7277,0.7616,0.0448,1.0677,3.0655,0.2450,1.5936,3.4660,0.4206,0.0332,0.9845,2.9843,0.5769,0.4670,2525.9100,7.8344,2040.3843,7.6209,3479.3922,8.1546,0.2135,0.4000,0.1770
2010-11-28,0.1452,4.0704,0.3217,0.2800,1.7270,3.5464,0.4322,3.2386,0.3888,1.2695,0.1772,0.5029,4.0122,2.7517,0.7801,0.0434,1.0580,3.0564,0.2415,1.5793,3.4570,0.4193,0.0306,0.9641,2.9634,0.5645,0.4386,2525.9100,7.8344,2041.1689,7.6213,3480.7301,8.1550,0.2131,0.3992,0.1653
2010-11-29,0.1479,4.0891,0.3234,0.2500,1.6137,3.4785,0.4224,3.2486,0.3901,1.2823,0.1795,0.5043,4.0208,2.7754,0.7988,0.0323,0.9771,2.9768,0.2385,1.5666,3.4489,0.4182,0.0280,0.9446,2.9430,0.4568,0.4110,2522.2400,7.8329,2041.9537,7.6217,3482.0685,8.1554,0.2112,0.3958,0.0610
2010-11-30,0.1507,4.1074,0.3250,0.2100,1.4394,3.3642,0.4062,3.2584,0.3915,1.2949,0.1818,0.5057,4.0292,2.7988,0.8178,0.0147,0.8347,2.8193,0.2359,1.5556,3.4419,0.4172,0.0257,0.9260,2.9232,0.2434,0.3841,2497.1200,7.8229,2042.7389,7.6220,3483.4074,8.1558,0.2008,0.3763,-0.1329
2010-12-01,0.1534,4.1255,0.3265,0.2100,1.4394,3.3642,0.4062,3.2681,0.3928,1.3074,0.1840,0.5070,4.0375,2.8221,0.8370,0.0134,0.8230,2.8052,0.2337,1.5461,3.4357,0.4163,0.0235,0.9083,2.9039,0.2244,0.3580,2535.1900,7.8380,2043.5244,7.6224,3484.7468,8.1562,0.2156,0.4039,-0.1796
2010-12-02,0.1562,4.1432,0.3281,0.2400,1.5729,3.4529,0.4187,3.2775,0.3941,1.3199,0.1863,0.5083,4.0456,2.8450,0.8565,0.0246,0.9175,2.9139,0.2318,1.5380,3.4305,0.4155,0.0214,0.8916,2.8852,0.3715,0.3327,2553.6800,7.8453,2044.3101,7.6228,3486.0868,8.1565,0.2225,0.4168,-0.0453
2010-12-03,0.1589,4.1605,0.3296,0.2500,1.6137,3.4785,0.4224,3.2868,0.3954,1.3322,0.1887,0.5096,4.0535,2.8678,0.8762,0.0270,0.9363,2.9342,0.2302,1.5311,3.4260,0.4149,0.0195,0.8756,2.8672,0.3991,0.3083,2569.0200,7.8513,2045.0962,7.6232,3487.4272,8.1569,0.2281,0.4273,-0.0283
2010-12-04,0.1616,4.1776,0.3311,0.2300,1.5303,3.4255,0.4148,3.2960,0.3967,1.3444,0.1910,0.5109,4.0614,2.8903,0.8961,0.0182,0.8643,2.8542,0.2289,1.5255,3.4223,0.4144,0.0177,0.8606,2.8498,0.2907,0.2847,2569.0200,7.8513,2045.8826,7.6236,3488.7682,8.1573,0.2277,0.4266,-0.1360
2010-12-05,0.1644,4.1944,0.3325,0.2100,1.4394,3.3642,0.4062,3.3050,0.3979,1.3566,0.1933,0.5121,4.0691,2.9126,0.9163,0.0083,0.7769,2.7476,0.2279,1.5211,3.4194,0.4140,0.0161,0.8463,2.8331,0.1462,0.2621,2569.0200,7.8513,2046.6693,7.6240,3490.1097,8.1577,0.2273,0.4259,-0.2797
2010-12-06,0.1671,4.2110,0.3340,0.2000,1.3906,3.3297,0.4014,3.3138,0.3992,1.3686,0.1957,0.5133,4.0766,2.9347,0.9368,0.0022,0.7194,2.6706,0.2271,1.5176,3.4172,0.4137,0.0145,0.8329,2.8171,0.0420,0.2405,2591.2800,7.8599,2047.4562,7.6244,3491.4517,8.1581,0.2356,0.4413,-0.3994
2010-12-07,0.1699,4.2272,0.3354,0.2200,1.4859,3.3960,0.4107,3.3225,0.4004,1.3806,0.1980,0.5145,4.0840,2.9566,0.9575,0.0103,0.7955,2.7712,0.2266,1.5152,3.4156,0.4134,0.0131,0.8203,2.8019,0.1783,0.2198,2623.1500,7.8721,2048.2435,7.6247,3492.7942,8.1585,0.2474,0.4635,-0.2852
2010-12-08,0.1726,4.2432,0.3368,0.2300,1.5303,3.4255,0.4148,3.3310,0.4016,1.3924,0.2004,0.5157,4.0913,2.9783,0.9785,0.0133,0.8221,2.8041,0.2262,1.5137,3.4146,0.4133,0.0117,0.8084,2.7873,0.2229,0.2000,2604.5700,7.8650,2049.0311,7.6251,3494.1372,8.1588,0.2399,0.4495,-0.2266
2010-12-09,0.1753,4.2590,0.3382,0.2100,1.4394,3.3642,0.4062,3.3395,0.4027,1.4042,0.2027,0.5169,4.0985,2.9998,0.9998,0.0035,0.7315,2.6873,0.2261,1.5131,3.4142,0.4132,0.0105,0.7973,2.7735,0.0646,0.1813,2623.1500,7.8721,2049.8190,7.6255,3495.4808,8.1592,0.2466,0.4621,-0.3975
2010-12-10,0.1781,4.2745,0.3395,0.1900,1.3393,3.2921,0.3961,3.3478,0.4039,1.4159,0.2051,0.5181,4.1056,3.0210,1.0213,-0.0078,0.6167,2.5167,0.2261,1.5133,3.4143,0.4133,0.0094,0.7869,2.7603,-0.1665,0.1635,2623.2800,7.8722,2050.6072,7.6259,3496.8249,8.1596,0.2463,0.4615,-0.6280
2010-12-11,0.1808,4.2898,0.3409,0.2200,1.4859,3.3960,0.4107,3.3559,0.4050,1.4275,0.2075,0.5192,4.1126,3.0421,1.0430,0.0056,0.7522,2.7153,0.2263,1.5142,3.4149,0.4133,0.0083,0.7772,2.7479,0.1025,0.1467,2623.2800,7.8722,2051.3957,7.6263,3498.1694,8.1600,0.2459,0.4607,-0.3582
2010-12-12,0.1836,4.3048,0.3422,0.2100,1.4394,3.3642,0.4062,3.3640,0.4062,1.4390,0.2099,0.5203,4.1194,3.0631,1.0651,0.0000,0.6977,2.6401,0.2267,1.5159,3.4160,0.4135,0.0073,0.7682,2.7362,0.0006,0.1309,2623.2800,7.8722,2052.1845,7.6267,3499.5145,8.1604,0.2455,0.4600,-0.4594
2010-12-13,0.1863,4.3196,0.3435,0.2200,1.4859,3.3960,0.4107,3.3719,0.4073,1.4505,0.2123,0.5215,4.1262,3.0838,1.0874,0.0034,0.7308,2.6864,0.2272,1.5182,3.4175,0.4137,0.0064,0.7598,2.7253,0.0634,0.1160,2645.3500,7.8806,2052.9736,7.6270,3500.8602,8.1608,0.2535,0.4750,-0.4116
2010-12-14,0.1890,4.3342,0.3448,0.2300,1.5303,3.4255,0.4148,3.3797,0.4084,1.4618,0.2148,0.5226,4.1328,3.1043,1.1100,0.0065,0.7601,2.7257,0.2279,1.5211,3.4195,0.4140,0.0056,0.7520,2.7150,0.1166,0.1022,2631.3400,7.8752,2053.7630,7.6274,3502.2063,8.1611,0.2478,0.4643,-0.3478
2010-12-15,0.1918,4.3486,0.3461,0.2400,1.5729,3.4529,0.4187,3.3874,0.4095,1.4731,0.2172,0.5236,4.1393,3.1247,1.1328,0.0093,0.7862,2.7594,0.2287,1.5247,3.4218,0.4143,0.0049,0.7449,2.7055,0.1623,0.0892,2625.8100,7.8731,2054.5527,7.6278,3503.5530,8.1615,0.2453,0.4597,-0.2974
2010-12-16,0.1945,4.3628,0.3473,0.2500,1.6137,3.4785,0.4224,3.3950,0.4105,1.4843,0.2197,0.5247,4.1458,3.1449,1.1559,0.0119,0.8096,2.7888,0.2297,1.5288,3.4245,0.4147,0.0042,0.7383,2.6966,0.2020,0.0772,2620.5600,7.8711,2055.3427,7.6282,3504.9001,8.1619,0.2429,0.4552,-0.2532
